CO_EXPEDIENTE,NU_PROCESSO,NU_ACAO,NU_GRUPO_ASSUNTO,NU_ASSUNTO
21.000.26652/2018,10002123020185020054,54,75,"[63, 340, 508, 531]"
21.000.26654/2018,00104633420185150064,203,54,"[20, 57, 502, 527]"
21.000.26668/2018,10005370920185020473,54,46,"[63, 340, 409, 437, 506, 531, 705, 706, 929]"
21.000.26669/2017,10011319620175020363,203,47,"[50, 138, 176, 531]"
21.000.26671/2017,10011231520175020042,54,47,"[50, 138, 176, 531]"
21.000.26672/2017,10010721220175020492,54,47,"[50, 138, 176, 531]"
21.000.26672/2018,10007718620185020603,54,46,"[63, 409, 437, 506, 621, 705, 706, 929]"
21.000.26674/2017,10000401220175020511,54,47,"[50, 138, 176, 531]"
21.000.26675/2017,10012483420175020704,54,47,"[50, 138, 176, 531]"
21.000.26677/2018,10006849320185020001,54,75,"[63, 340, 508, 531]"
21.000.26678/2017,10012707120175020323,54,47,"[50, 138, 176, 531]"
21.000.26680/2018,10002191620185020444,54,78,"[50, 66, 153, 340, 352, 414, 531, 716]"
21.000.26682/2017,10015697520175020605,54,47,"[50, 138, 176, 531]"
21.000.26686/2017,10019520820165020017,54,47,"[50, 138, 176, 531]"
21.000.26688/2017,10010933720175020411,54,46,"[63, 96, 142, 340, 409, 436, 505, 531, 621, 705, 706, 929]"
21.000.26690/2017,10011441320175020067,54,46,"[35, 63, 340, 436, 506, 507, 531, 621, 705, 706]"
21.000.26693/2017,10002670820175020315,54,75,"[63, 508, 531]"
21.000.26711/2017,10012847820175020089,54,47,"[138, 176, 531]"
21.000.26721/2017,10012664220175020385,54,47,"[50, 65, 138, 175, 531]"
21.000.26780/2018,10004306320185020020,54,998,"[58, 63, 340, 531]"
21.000.26788/2018,10007206220185020090,54,75,"[63, 340, 508, 531]"
21.000.26794/2018,10004849320185020031,54,62,"[20, 340, 507, 531]"
21.000.26799/2018,10004672620185020009,54,47,"[50, 138, 176, 531]"
21.000.26859/2017,10012167220175020431,54,47,"[50, 138, 176, 531]"
21.000.26861/2017,10012992920175020386,54,47,"[138, 176, 531]"
21.000.26862/2017,10012206920175020703,54,75,"[63, 508, 531]"
21.000.26869/2017,10008040520175020444,54,47,"[138, 176, 531]"
21.000.26904/2017,10007549220175020374,54,47,"[50, 138, 176, 531]"
21.000.26905/2017,10009839020175020232,54,47,"[138, 176, 531]"
21.000.26987/2018,10005607620185020271,54,75,"[63, 340, 508, 531]"
21.000.27052/2018,10006981720185020021,54,75,"[63, 340, 508, 531]"
21.000.27062/2017,00000310220175020080,238,51,"[20, 436, 527, 621]"
21.000.27072/2017,10012989720175020433,54,47,"[50, 138, 176, 531]"
21.000.27075/2017,10010548820175020492,54,47,"[50, 138, 176, 531]"
21.000.27084/2018,10005285020185020472,54,75,"[63, 340, 508, 531]"
21.000.27087/2017,10009388020175020719,54,998,"[50, 340, 531, 617, 716]"
21.000.27091/2017,10013064920175020312,54,46,"[63, 142, 340, 436, 498, 506, 507, 531, 621, 705, 706]"
21.000.27097/2017,10012886520175020041,54,51,"[20, 340, 417, 436, 498, 507, 508, 621, 706, 716]"
21.000.27106/2017,10012159020175020042,54,47,"[50, 138, 176, 531]"
21.000.27146/2018,10007147520185020051,54,47,"[138, 176, 531]"
21.000.27189/2018,10006226820185020384,54,47,"[138, 176, 531]"
21.000.27190/2017,10011306620175020281,54,47,"[138, 176, 531]"
21.000.27191/2018,10008443720185020610,54,47,"[138, 176, 531]"
21.000.27197/2017,10011519320175020264,54,47,"[138, 176, 531]"
21.000.27204/2018,10006581220185020061,54,79,"[50, 531, 617, 716]"
21.000.27209/2017,10007543220175020006,54,47,"[50, 138, 176, 531]"
21.000.27217/2017,10012832120175020016,54,46,"[35, 63, 340, 436, 498, 506, 508, 531, 621, 705, 706, 928, 929]"
21.000.27285/2017,10013348520175020063,54,47,"[50, 138, 176, 531]"
21.000.27288/2017,10015627120175020609,54,47,"[138, 176, 531]"
21.000.27337/2017,10008709820175020471,54,47,"[138, 176, 531]"
21.000.27339/2017,10008365120175020010,54,51,"[20, 50, 142, 340, 409, 436, 508, 531, 535, 621, 705, 706, 709]"
21.000.27342/2017,10005825920175020081,54,46,"[63, 409, 506, 531]"
21.000.27342/2018,10006989520185020383,54,75,"[63, 340, 508, 531]"
21.000.27345/2017,10012895820175020006,54,79,"[3, 50, 63, 523, 531]"
21.000.27346/2017,10015696920175020607,54,47,"[138, 176, 531]"
21.000.27370/2018,10006216220185020003,54,50,"[20, 340, 437, 531, 586, 621, 706]"
21.000.27371/2018,10006925820185020005,54,47,"[138, 176, 531]"
21.000.27372/2018,10007077320185020022,54,47,"[138, 176, 531]"
21.000.27377/2018,10006543120185020010,54,61,"[20, 24, 340, 507, 531]"
21.000.27381/2018,10006633920185020221,54,58,"[63, 340, 506, 508, 531, 716]"
21.000.27388/2018,10004608420185020445,54,79,"[50, 531, 617, 716]"
21.000.27415/2018,10006808720185020702,54,47,"[138, 176, 531]"
21.000.27439/2018,10020191220175020025,54,61,"[20, 24, 340, 507, 531]"
21.000.27442/2018,10007289420185020007,54,47,"[138, 176, 531]"
21.000.27451/2018,10007297920185020007,54,998,"[8, 63, 340, 531, 716]"
21.000.27496/2017,10009243420175020384,54,998,"[50, 531, 617, 716]"
21.000.27508/2017,10010807020175020077,54,47,"[50, 138, 176, 531]"
21.000.27510/2017,10013484320175020007,54,47,"[138, 176, 531]"
21.000.27511/2017,10021168420165020465,54,47,"[138, 176, 531]"
21.000.27532/2017,10012839420175020024,54,47,"[50, 138, 176, 531]"
21.000.27534/2017,10010101020175020059,54,47,"[50, 138, 176, 531]"
21.000.27568/2018,10005265320185020384,54,47,"[50, 176, 531, 572]"
21.000.27591/2017,10011745720175020064,54,51,"[20, 340, 436, 507, 621, 705, 706]"
21.000.27592/2017,10021703520165020082,54,47,"[50, 138, 176, 531]"
21.000.27635/2018,00112894520185150069,54,58,"[63, 506, 531, 716]"
21.000.27658/2018,10001554220185020432,238,46,"[414, 929]"
21.000.27725/2017,10016510920175020605,54,47,"[50, 138, 176, 531]"
21.000.27730/2017,10015179020175020472,54,47,"[50, 138, 176, 531]"
21.000.27732/2017,00000296720175020036,238,61,"[24, 37, 414, 419, 507]"
21.000.27734/2017,10014623920175020473,54,47,"[50, 138, 176, 531]"
21.000.27749/2018,10019516120175020381,218,51,"[24, 63, 142, 409, 419, 436, 506, 507, 527, 621, 929]"
21.000.27756/2018,10006935220185020002,54,998,"[8, 63, 340, 531, 716]"
21.000.27759/2018,10007133420185020005,54,998,"[8, 63, 340, 531, 716]"
21.000.27760/2018,10004698920185020075,54,47,"[138, 176, 531]"
21.000.27767/2018,10006775820185020080,54,47,"[138, 176, 531]"
21.000.27770/2018,10007152520185020386,54,47,"[176, 531, 572]"
21.000.27771/2018,10006605320185020005,54,79,"[50, 531, 617, 716]"
21.000.27800/2018,10007279620185020076,54,998,"[8, 63, 340, 531, 716]"
21.000.27807/2017,10013346420175020070,54,47,"[138, 176, 531]"
21.000.27807/2018,10006932520185020011,54,998,"[8, 63, 340, 531, 716]"
21.000.27809/2017,10007516920175020720,54,46,"[63, 340, 436, 498, 506, 531, 621, 705, 706, 727, 929]"
21.000.27812/2017,10009357220175020381,54,51,"[63, 340, 436, 531, 621, 705, 706]"
21.000.27813/2017,10016502420175020605,54,46,"[35, 57, 63, 340, 409, 436, 498, 507, 531, 621, 705, 706]"
21.000.27814/2017,10012920620175020073,54,75,"[63, 508, 531]"
21.000.27815/2017,10012223920175020703,54,54,"[63, 531, 705]"
21.000.27819/2018,10006652020185020088,54,47,"[138, 176, 531]"
21.000.27844/2017,10010491620175020444,54,47,"[138, 176, 531]"
21.000.27853/2017,10015943520175020461,54,47,"[50, 138, 176, 531]"
21.000.27862/2017,10010841920175020074,54,47,"[50, 138, 176, 531]"
21.000.27866/2017,10013354520175020039,54,47,"[138, 176, 531]"
21.000.27867/2017,10007711020175020381,54,47,"[138, 176, 531]"
21.000.27869/2017,10016292720175020612,54,47,"[50, 138, 176, 531]"
21.000.27872/2017,10014518120175020611,54,48,"[176, 531, 540]"
21.000.27902/2018,10006636520185020471,54,47,"[50, 138, 176, 531]"
21.000.27910/2018,10007415920185020083,54,75,"[63, 508, 531]"
21.000.27955/2018,10025825720175020202,54,47,"[138, 176, 531]"
21.000.28018/2017,10015004920175020603,54,998,"[50, 65, 340, 531, 617, 716]"
21.000.28036/2017,10012794720175020383,54,998,"[50, 340, 531, 617, 716]"
21.000.28038/2017,10011992220175020080,54,46,"[35, 63, 340, 436, 507, 531, 621, 705, 706, 929]"
21.000.28050/2017,10006944620175020075,54,998,"[8, 63, 531, 716]"
21.000.28052/2017,10012038720175020006,54,998,"[8, 63, 340, 531, 716]"
21.000.28057/2017,10012508920175020320,54,47,"[50, 138, 176, 531]"
21.000.28059/2017,10012411320175020261,54,47,"[50, 138, 176, 531]"
21.000.28061/2017,10013164220175020717,54,47,"[50, 138, 176, 531]"
21.000.28064/2017,10013677520175020063,54,47,"[138, 176, 531]"
21.000.28065/2017,10012976820175020383,54,47,"[50, 138, 176, 531]"
21.000.28135/2018,10008044720185020063,54,47,"[50, 138, 176, 531]"
21.000.28162/2017,10013185620175020088,54,51,"[20, 57, 340, 436, 498, 531, 621, 705, 706]"
21.000.28163/2017,10013047520175020087,54,46,"[63, 409, 506, 531, 929]"
21.000.28167/2018,10002962120185020025,54,47,"[65, 138, 176, 531]"
21.000.28172/2018,10009861820185020068,54,75,"[63, 340, 508, 531]"
21.000.28173/2018,10001713220185020323,238,51,"[414, 436, 527, 621]"
21.000.28178/2017,10013411320175020052,54,47,"[65, 138, 176, 531]"
21.000.28187/2017,10013343720175020079,54,47,"[138, 176, 531]"
21.000.28191/2017,10025791920165020241,54,47,"[138, 176, 531]"
21.000.28192/2017,10010884820175020012,54,47,"[50, 138, 176, 531]"
21.000.28199/2017,10015776120175020602,54,47,"[138, 176, 531]"
21.000.28205/2018,10003980420185020717,238,51,"[63, 340, 409, 436, 531, 706]"
21.000.28337/2018,10003334220185020706,54,75,"[63, 340, 508, 531]"
21.000.28338/2018,10007517620185020383,54,47,"[50, 138, 176, 531]"
21.000.28354/2018,10002985220185020716,54,47,"[138, 176, 531]"
21.000.28385/2017,10016766020175020463,54,47,"[138, 176, 511, 531]"
21.000.28397/2017,10009338920175020062,54,51,"[63, 340, 436, 498, 531, 621]"
21.000.28401/2017,10011577120175020015,54,51,"[20, 142, 340, 436, 531, 621, 705, 706]"
21.000.28402/2017,00000058120175020313,238,44,"[20, 24, 142, 419, 437, 527, 929, 930]"
21.000.28403/2018,10007364420185020016,54,47,"[138, 176, 531]"
21.000.28405/2017,10013158420175020029,54,47,"[138, 176, 531]"
21.000.28408/2017,10013730420175020089,54,47,"[50, 138, 176, 531]"
21.000.28410/2017,10013483720175020009,54,47,"[50, 138, 176, 531]"
21.000.28449/2018,10007294720185020050,54,47,"[138, 176, 531]"
21.000.28459/2017,10011425420175020322,54,54,"[57, 63, 86, 506, 527, 531]"
21.000.28486/2017,10008923420175020447,54,54,"[20, 50, 65, 527, 531, 709]"
21.000.28535/2017,10013044220175020001,54,61,"[20, 24, 507, 531]"
21.000.28551/2017,10010678820175020039,54,54,"[63, 340, 527, 531, 709]"
21.000.28555/2017,10010687320175020039,54,54,"[63, 340, 527, 531, 705]"
21.000.28775/2017,00000482420175020020,238,51,"[20, 65, 409, 436, 505, 506, 507, 527, 928, 929, 930]"
21.000.28790/2017,10012065820175020712,54,54,"[63, 527, 531, 709]"
21.000.28801/2017,10012074320175020712,54,54,"[63, 527, 531, 705]"
21.000.28808/2017,00110647420175150064,54,47,"[138, 176, 531]"
21.000.28811/2017,10011703120175020028,54,47,"[50, 138, 176, 531]"
21.000.28813/2017,10013627620175020702,54,47,"[65, 138, 176, 531]"
21.000.28815/2017,10017134920175020605,54,47,"[138, 176, 531]"
21.000.28821/2017,10010745820175020402,54,47,"[50, 138, 176, 531]"
21.000.28823/2017,10008818620175020032,54,47,"[50, 138, 176, 531]"
21.000.28827/2017,10002457320175020468,54,47,"[50, 138, 176, 531]"
21.000.28857/2017,10013889620175020048,54,47,"[138, 176, 531]"
21.000.28991/2018,10002321020185020381,238,51,"[20, 50, 436, 507, 527, 531, 535, 621]"
21.000.29005/2017,10017109420175020605,54,47,"[138, 176, 531]"
21.000.29010/2017,10009505720175020020,54,47,"[50, 138, 176, 531]"
21.000.29018/2017,10008771820175020010,54,47,"[50, 138, 176, 531]"
21.000.29025/2017,10013765420175020704,54,47,"[50, 138, 176, 531]"
21.000.29028/2017,10016795920175020610,54,47,"[138, 176, 531]"
21.000.29033/2017,10014197920175020707,54,75,"[63, 340, 508, 531]"
21.000.29034/2017,10013167820175020705,54,75,"[63, 340, 508, 531]"
21.000.29036/2018,10007299720185020001,54,75,"[63, 340, 508, 531]"
21.000.29037/2018,10006688720185020083,54,75,"[63, 340, 508, 531]"
21.000.29038/2018,10007375120185020720,54,47,"[65, 138, 176, 531]"
21.000.29039/2018,10007628920185020065,54,47,"[138, 176, 531]"
21.000.29040/2017,10011366520175020607,54,47,"[50, 138, 176, 531]"
21.000.29040/2018,10005318520185020025,54,47,"[138, 176, 531]"
21.000.29041/2018,10005028220185020074,54,47,"[138, 176, 531]"
21.000.29042/2018,10007464920185020029,54,75,"[63, 340, 508, 531]"
21.000.29043/2018,10005687220185020491,54,61,"[20, 24, 340, 531]"
21.000.29044/2018,10006521420185020058,54,79,"[50, 531, 617, 716]"
21.000.29045/2018,10009983120185020521,54,75,"[63, 340, 508, 531]"
21.000.29046/2018,10007159820185020006,54,61,"[20, 24, 340, 531]"
21.000.29196/2017,10012373720175020079,54,48,"[50, 176, 531, 540]"
21.000.29200/2017,10014015320175020062,54,47,"[50, 138, 176, 531]"
21.000.29203/2017,10014186720175020037,54,47,"[50, 138, 176, 531]"
21.000.29260/2017,10013750720175020078,54,47,"[50, 138, 176, 531]"
21.000.29264/2017,10012197520175020706,54,47,"[50, 138, 176, 531]"
21.000.29267/2017,10014084820175020061,54,46,"[63, 340, 436, 506, 531, 621, 705, 929]"
21.000.29272/2017,10014578820175020611,54,998,"[50, 531, 617, 716]"
21.000.29284/2017,10013776220175020082,54,46,"[8, 50, 57, 63, 340, 436, 506, 507, 508, 621, 705, 706, 709, 929]"
21.000.29381/2018,10005723620185020386,54,47,"[176, 531, 572]"
21.000.29382/2018,10006035420185020613,54,47,"[50, 138, 176, 531]"
21.000.29383/2018,10004128520185020232,54,51,"[50, 63, 340, 436, 531, 706, 709]"
21.000.29384/2018,10007556620185020431,54,51,"[20, 24, 340, 436, 506, 531, 621, 705, 706]"
21.000.29385/2018,10007714920185020001,54,47,"[50, 138, 176, 531]"
21.000.29386/2018,10008806420185020421,54,47,"[65, 138, 176, 531]"
21.000.29387/2018,10007899420185020090,54,47,"[138, 176, 531]"
21.000.29388/2018,10006189120185020073,54,47,"[50, 138, 176, 531]"
21.000.29389/2018,10007703320185020076,54,46,"[63, 340, 436, 508, 531, 929]"
21.000.29390/2018,10006261520185020705,54,75,"[63, 508]"
21.000.29391/2018,10006497520185020085,54,75,"[63, 340, 508, 531, 709]"
21.000.29392/2018,10007504820185020074,54,47,"[50, 138, 176, 531]"
21.000.29412/2017,10014497820175020040,54,51,"[63, 340, 436, 498, 531, 621]"
21.000.29419/2017,10013682220175020011,54,47,"[50, 138, 176, 531]"
21.000.29422/2017,10014419020175020076,54,47,"[50, 138, 176, 531]"
21.000.29423/2017,10011519620175020263,54,47,"[50, 65, 138, 176, 531]"
21.000.29427/2017,10014489320175020040,54,75,"[63, 508, 531]"
21.000.29434/2017,10018522320175020242,203,51,"[63, 340, 436, 527, 621, 705, 706]"
21.000.29438/2017,10013599120175020712,54,75,"[63, 340, 508, 531]"
21.000.29445/2017,10014013220175020069,54,51,"[63, 436, 527, 621, 705, 709]"
21.000.29482/2017,10013115020175020028,54,54,"[63, 340, 527, 531, 706]"
21.000.29501/2017,10013614620175020717,54,75,"[63, 340, 508, 531]"
21.000.29784/2017,00000258620175020082,238,51,"[63, 436]"
21.000.29786/2018,10008635520185020606,203,51,"[340, 414, 436, 508, 531, 621, 706]"
21.000.29798/2017,10014417820175020371,238,51,"[63, 340, 436, 531, 621, 705]"
21.000.29799/2017,10014249220175020322,9,75,"[340, 508, 524, 531]"
21.000.29819/2017,10013597820175020005,54,47,"[138, 176, 531]"
21.000.29822/2017,10013366320175020028,54,51,"[20, 340, 436, 527, 531, 705]"
21.000.29862/2017,10015919420175020521,54,51,"[340, 414, 508, 511, 527, 531, 706]"
21.000.29866/2017,10014195820175020035,54,47,"[138, 176, 531]"
21.000.29871/2017,10011796520175020004,54,51,"[340, 409, 414, 436, 507, 508, 531, 621, 705, 706, 709]"
21.000.29875/2017,10014506320175020040,54,54,"[63, 527, 531, 705, 716]"
21.000.29893/2017,10014486520175020017,54,75,"[63, 508, 531, 716]"
21.000.29895/2018,10006401620185020473,54,75,"[63, 340, 508, 531]"
21.000.29897/2018,10007652820185020717,54,47,"[138, 176, 531]"
21.000.29953/2018,10007387220185020708,54,47,"[138, 176, 531]"
21.000.29986/2017,10017680320175020604,54,46,"[20, 121, 340, 409, 417, 531, 927, 928, 929, 930]"
21.000.30074/2018,10007021520185020713,54,47,"[138, 176, 531]"
21.000.30081/2017,10014056520175020717,54,75,"[20, 340, 508, 531]"
21.000.30107/2017,10014335920175020385,54,47,"[50, 65, 138, 176, 531]"
21.000.30114/2017,10010527920175020020,54,46,"[63, 531, 716, 929]"
21.000.30116/2017,00000392120175020066,238,44,"[63, 419, 506, 507, 535, 586, 928, 929, 930]"
21.000.30117/2017,10005438020175020075,54,75,"[63, 508, 531]"
21.000.30118/2017,00000807320175020070,238,44,"[24, 37, 63, 110, 409, 502, 505, 928, 929, 930]"
21.000.30119/2017,10013597320175020718,54,75,"[63, 340, 508, 531]"
21.000.30121/2017,10015947020175020611,54,47,"[50, 138, 176, 531]"
21.000.30123/2017,10014959420175020613,54,998,"[50, 340, 531, 617, 716]"
21.000.30138/2017,10005006520175020004,54,47,"[50, 138, 176, 531]"
21.000.30140/2017,10014327920175020060,54,75,"[63, 340, 508, 531]"
21.000.30171/2017,10014663820175020033,54,47,"[138, 176, 531]"
21.000.30212/2017,10011850720175020058,54,47,"[50, 138, 176, 531]"
21.000.30223/2018,10007335020185020320,54,998,"[63, 444, 531]"
21.000.30242/2018,10004861920185020078,54,47,"[138, 176, 531]"
21.000.30246/2018,00113751620185150069,54,75,"[63, 340, 508, 531]"
21.000.30248/2018,10007586120185020062,54,75,"[63, 340, 508, 531, 709]"
21.000.30250/2018,10006584020185020472,54,47,"[50, 138, 176, 531]"
21.000.30312/2017,10013060720175020714,54,998,"[50, 340, 617, 716]"
21.000.30333/2018,10006671420185020080,54,50,"[20, 340, 437, 705, 706]"
21.000.30349/2018,10009638320185020614,54,75,"[63, 340, 508, 531]"
21.000.30358/2018,10007588120185020023,54,46,"[63, 340, 508, 531, 929]"
21.000.30361/2018,00116177220185150069,54,51,"[63, 340, 436, 527, 531, 706, 709]"
21.000.30381/2018,10007736920185020049,203,51,"[50, 63, 436, 508, 527, 705, 706]"
21.000.30492/2018,10007858120185020082,54,51,"[9, 57, 96, 340, 414, 436, 531, 621]"
21.000.30498/2018,10005902720185020008,54,75,"[63, 340, 508, 531]"
21.000.30502/2018,10006831120185020001,54,47,"[65, 138, 176, 531]"
21.000.30508/2017,10014290320175020068,54,61,"[20, 24, 507, 531]"
21.000.30508/2018,10007346920185020050,54,47,"[138, 176, 531]"
21.000.30514/2018,10007809120185020039,54,75,"[63, 340, 508, 531]"
21.000.30517/2018,10008119720185020076,54,47,"[138, 176, 531]"
21.000.30521/2017,10016803820175020612,54,47,"[138, 176, 531]"
21.000.30521/2018,10007847620185020024,54,79,"[50, 340, 414, 511]"
21.000.30524/2018,10005338520185020015,54,998,[43]
21.000.30555/2017,10013826420175020315,54,47,"[138, 176, 531]"
21.000.30557/2017,10016815220175020473,54,47,"[50, 138, 176, 531]"
21.000.30587/2017,10010969820175020602,54,47,"[50, 138, 176, 531]"
21.000.30631/2017,10014192620175020078,54,47,"[50, 138, 176, 531]"
21.000.30650/2017,10014577620175020033,203,54,"[63, 527, 531, 621, 706]"
21.000.30652/2017,10011852920175020471,54,47,"[50, 138, 176, 531]"
21.000.30661/2017,10014554020175020055,203,54,"[63, 527, 531, 621, 706]"
21.000.30671/2017,10012069220175020442,54,47,"[138, 176, 531]"
21.000.30674/2017,10017446020175020608,54,51,"[414, 436, 531, 621, 705, 706]"
21.000.30724/2018,00000014620185020301,218,43,"[63, 437, 927, 928]"
21.000.30810/2018,10007789720185020435,54,998,"[1, 52, 75, 408, 414, 472, 716, 782]"
21.000.30812/2018,10008046920185020088,54,47,"[138, 176, 531]"
21.000.30820/2018,10008146120185020073,54,47,"[138, 176, 531]"
21.000.30872/2018,10007966320185020712,54,47,"[65, 138, 176, 531]"
21.000.30873/2018,10007286020185020471,54,47,"[138, 176, 531, 716]"
21.000.30874/2018,10006725120185020075,54,75,"[63, 340, 508, 531]"
21.000.30895/2018,10006635820185020053,54,75,"[63, 340, 508, 531]"
21.000.31065/2018,10023123020175020203,54,47,"[65, 176, 531, 572]"
21.000.31107/2017,10014479620175020044,54,47,"[138, 176, 531]"
21.000.31117/2017,10013468720175020067,54,79,"[50, 52, 153, 340, 414, 531]"
21.000.31132/2017,10014380520175020087,54,75,"[340, 414, 508, 531, 716]"
21.000.31147/2017,10014581220175020017,54,47,"[65, 138, 176, 531]"
21.000.31157/2017,10014985820175020707,54,47,"[65, 67, 138, 176, 531]"
21.000.31173/2017,10007608920175020054,54,47,"[50, 138, 176, 531]"
21.000.31174/2017,10013633120175020712,54,47,"[50, 138, 176, 531]"
21.000.31198/2017,10014855020175020031,54,47,"[138, 176, 531]"
21.000.31202/2017,10013876220175020711,54,47,"[138, 176, 531]"
21.000.31203/2017,10012936020175020050,54,47,"[138, 176, 531]"
21.000.31204/2017,10017334620175020603,54,47,"[138, 176, 531]"
21.000.31324/2018,10019037220175020003,54,46,"[63, 340, 436, 498, 506, 507, 508, 531, 621, 705, 928, 929]"
21.000.31325/2018,10006166720185020382,54,75,"[63, 340, 508, 531]"
21.000.31356/2018,10006661920185020051,54,47,"[50, 138, 176, 531]"
21.000.31376/2018,10009395920185020063,54,47,"[138, 176, 531]"
21.000.31381/2018,10006536220185020716,54,51,"[20, 340, 436, 705]"
21.000.31384/2018,10010032720185020271,54,75,"[63, 340, 508, 531]"
21.000.31389/2018,10008263320185020087,54,47,"[138, 176, 531]"
21.000.31419/2018,10007990720185020069,54,47,"[138, 176, 531]"
21.000.31420/2018,10008324720185020602,54,61,"[20, 24, 340, 531]"
21.000.31437/2017,10013898120175020048,54,47,"[50, 138, 176, 531]"
21.000.31441/2017,00121827020175150069,54,61,"[20, 24, 340, 531]"
21.000.31446/2017,10012636820175020262,54,47,"[138, 176, 531]"
21.000.31460/2017,10011307320175020020,54,47,"[50, 138, 176, 531]"
21.000.31463/2017,00000127520175020086,238,51,"[63, 110, 340, 436, 498, 502, 506, 524]"
21.000.31464/2017,10013670420175020701,54,75,"[63, 340, 508, 531]"
21.000.31516/2017,00000136020175020086,238,51,"[63, 436, 506]"
21.000.31518/2017,10012405820175020445,203,43,"[37, 63, 539, 927, 928, 930]"
21.000.31521/2017,10014460620175020079,54,47,"[138, 176, 531]"
21.000.31528/2017,10014901220175020051,54,47,"[138, 176, 531]"
21.000.31568/2017,10013752920175020006,54,47,"[50, 138, 176, 531]"
21.000.31577/2017,10017574120175020614,54,47,"[50, 138, 176, 531]"
21.000.31613/2017,10003937920175020017,54,47,"[50, 138, 176, 531]"
21.000.31642/2018,10008019720185020320,54,75,"[63, 340, 508, 531]"
21.000.31646/2018,10008336520185020009,54,47,"[138, 176, 531]"
21.000.31652/2018,10007586020185020709,54,47,"[65, 176, 531, 572]"
21.000.31653/2018,10005895020185020070,203,51,"[63, 340, 436, 506, 705, 706]"
21.000.31656/2018,10008605220185020040,54,47,"[138, 176, 531]"
21.000.31657/2018,10003464820185020445,54,61,"[20, 24, 340, 507, 531, 716]"
21.000.31665/2018,10023190220175020242,54,47,"[138, 176, 531]"
21.000.31668/2018,10007632920185020080,54,75,"[63, 340, 508, 531]"
21.000.31910/2018,10008122320185020710,54,47,"[65, 138, 176, 531]"
21.000.31992/2018,10008453820185020055,54,47,"[138, 176, 531]"
21.000.31994/2018,10008033720185020718,54,47,"[138, 176, 531]"
21.000.31997/2018,10008286520185020034,54,47,"[138, 176, 531]"
21.000.32024/2017,10014240620175020383,54,46,"[63, 340, 436, 506, 507, 508, 531, 621, 705, 929]"
21.000.32032/2017,10009313520175020381,54,51,"[340, 414, 436, 531, 706]"
21.000.32035/2017,10001858520175020473,54,47,"[50, 138, 176, 531]"
21.000.32058/2017,10014539220175020080,54,46,"[50, 63, 140, 142, 507, 531, 535, 928, 929]"
21.000.32059/2017,10014123420175020078,54,46,"[57, 63, 340, 436, 498, 506, 507, 621, 705, 706, 929]"
21.000.32063/2017,10013248820175020015,54,46,"[10, 24, 50, 57, 340, 414, 436, 506, 531, 621, 706, 727, 929]"
21.000.32068/2017,10014621920175020706,54,75,"[63, 340, 508, 531]"
21.000.32074/2017,10014609020175020078,54,75,"[63, 340, 508, 531]"
21.000.32075/2018,10008254020185020607,54,47,"[50, 138, 176, 531]"
21.000.32077/2017,10014653920175020070,54,46,"[20, 24, 110, 151, 340, 409, 506, 507, 928]"
21.000.32159/2018,10008270920185020381,54,47,"[50, 138, 176, 531]"
21.000.32161/2018,10007640220185020472,54,47,"[138, 176, 531]"
21.000.32184/2018,10008457820185020074,54,47,"[138, 176, 531]"
21.000.32219/2018,10010955820185020221,54,46,"[63, 340, 436, 506, 527, 531, 706, 929]"
21.000.32224/2018,10007289820185020038,54,47,"[138, 176, 531]"
21.000.32230/2018,00116168720185150069,54,61,"[20, 24, 340, 531]"
21.000.32243/2018,10004086620185020711,203,50,"[63, 506, 586, 706, 929]"
21.000.32278/2018,00117700820185150069,54,50,"[20, 437, 527, 531, 706]"
21.000.32280/2018,00116523220185150069,54,61,"[20, 24, 340, 531]"
21.000.32317/2017,10014204920175020712,54,75,"[63, 340, 508, 531]"
21.000.32323/2017,10014643620175020076,54,47,"[65, 138, 175, 531]"
21.000.32324/2017,10014164420175020087,54,998,"[8, 63, 531, 716]"
21.000.32333/2017,10010660620175020039,54,75,"[63, 508, 531]"
21.000.32339/2017,00000418620175020002,238,48,"[50, 176, 540]"
21.000.32341/2017,00000427020175020261,238,45,"[24, 63, 409, 928, 929]"
21.000.32344/2017,10012961320175020471,54,47,"[50, 138, 176, 531]"
21.000.32346/2017,10012659020175020471,54,47,"[50, 138, 176, 531]"
21.000.32353/2017,10014454520175020071,54,47,"[50, 138, 176, 531]"
21.000.32356/2017,10016478020175020472,54,47,"[138, 176, 531]"
21.000.32360/2017,10014927720175020084,54,47,"[50, 138, 176, 531]"
21.000.32364/2017,10014566820175020073,54,47,"[65, 138, 176, 531]"
21.000.32390/2017,10006297020175020004,54,47,"[50, 138, 176, 531]"
21.000.32393/2017,10014523320175020719,54,47,"[138, 176, 531]"
21.000.32411/2017,10015334720175020083,54,998,"[50, 340, 531, 617, 716]"
21.000.32470/2017,10014698420175020035,54,46,"[63, 340, 531, 928, 929]"
21.000.32471/2017,10014763520175020081,54,46,"[63, 340, 436, 506, 507, 508, 531, 621, 705, 706]"
21.000.32526/2018,10008358020185020382,54,47,"[138, 176, 531]"
21.000.32531/2017,10013556020175020322,54,998,"[50, 62, 63, 335, 340, 531]"
21.000.32531/2018,10008661720185020054,54,47,"[50, 138, 176, 531]"
21.000.32610/2017,10014772820175020046,54,47,"[138, 176, 531]"
21.000.32626/2017,10013906420175020081,54,47,"[138, 176, 531]"
